160	50	webp	35	25%	./quality-samples/sample0.jpg
160	60	webp	40	29%	./quality-samples/sample0.jpg
160	70	webp	55	27%	./quality-samples/sample0.jpg
160	80	webp	70	31%	./quality-samples/sample0.jpg
160	85	webp	80	27%	./quality-samples/sample0.jpg
320	50	webp	35	23%	./quality-samples/sample0.jpg
320	60	webp	45	22%	./quality-samples/sample0.jpg
320	70	webp	55	27%	./quality-samples/sample0.jpg
320	80	webp	70	31%	./quality-samples/sample0.jpg
320	85	webp	80	28%	./quality-samples/sample0.jpg
640	50	webp	30	30%	./quality-samples/sample0.jpg
640	60	webp	40	28%	./quality-samples/sample0.jpg
640	70	webp	50	31%	./quality-samples/sample0.jpg
640	80	webp	70	33%	./quality-samples/sample0.jpg
640	85	webp	80	29%	./quality-samples/sample0.jpg
1280	50	webp	35	30%	./quality-samples/sample0.jpg
1280	60	webp	45	29%	./quality-samples/sample0.jpg
1280	70	webp	55	33%	./quality-samples/sample0.jpg
1280	80	webp	75	34%	./quality-samples/sample0.jpg
1280	85	webp	80	34%	./quality-samples/sample0.jpg
1920	50	webp	40	31%	./quality-samples/sample0.jpg
1920	60	webp	50	30%	./quality-samples/sample0.jpg
1920	70	webp	65	31%	./quality-samples/sample0.jpg
1920	80	webp	80	27%	./quality-samples/sample0.jpg
1920	85	webp	85	24%	./quality-samples/sample0.jpg
160	50	webp	45	3%	./quality-samples/sample1.jpg
160	60	webp	50	10%	./quality-samples/sample1.jpg
160	70	webp	65	11%	./quality-samples/sample1.jpg
160	80	webp	75	21%	./quality-samples/sample1.jpg
160	85	webp	80	20%	./quality-samples/sample1.jpg
320	50	webp	50	1%	./quality-samples/sample1.jpg
320	60	webp	55	8%	./quality-samples/sample1.jpg
320	70	webp	65	12%	./quality-samples/sample1.jpg
320	80	webp	80	8%	./quality-samples/sample1.jpg
320	85	webp	80	22%	./quality-samples/sample1.jpg
640	50	webp	55	10%	./quality-samples/sample1.jpg
640	60	webp	65	9%	./quality-samples/sample1.jpg
640	70	webp	75	13%	./quality-samples/sample1.jpg
640	80	webp	80	16%	./quality-samples/sample1.jpg
640	85	webp	85	12%	./quality-samples/sample1.jpg
1280	50	webp	65	13%	./quality-samples/sample1.jpg
1280	60	webp	70	19%	./quality-samples/sample1.jpg
1280	70	webp	80	5%	./quality-samples/sample1.jpg
1280	80	webp	85	0%	./quality-samples/sample1.jpg
1280	85	webp	85	15%	./quality-samples/sample1.jpg
1920	50	webp	70	12%	./quality-samples/sample1.jpg
1920	60	webp	75	20%	./quality-samples/sample1.jpg
1920	70	webp	80	14%	./quality-samples/sample1.jpg
1920	80	webp	85	8%	./quality-samples/sample1.jpg
1920	85	webp	85	22%	./quality-samples/sample1.jpg
160	50	webp	45	40%	./quality-samples/sample2.jpg
160	60	webp	55	38%	./quality-samples/sample2.jpg
160	70	webp	65	40%	./quality-samples/sample2.jpg
160	80	webp	80	35%	./quality-samples/sample2.jpg
160	85	webp	85	31%	./quality-samples/sample2.jpg
320	50	webp	65	21%	./quality-samples/sample2.jpg
320	60	webp	70	25%	./quality-samples/sample2.jpg
320	70	webp	80	18%	./quality-samples/sample2.jpg
320	80	webp	85	18%	./quality-samples/sample2.jpg
320	85	webp	85	30%	./quality-samples/sample2.jpg
640	50	webp	70	24%	./quality-samples/sample2.jpg
640	60	webp	80	10%	./quality-samples/sample2.jpg
640	70	webp	85	8%	./quality-samples/sample2.jpg
640	80	webp	85	26%	./quality-samples/sample2.jpg
640	85	webp	90	12%	./quality-samples/sample2.jpg
1280	50	webp	70	37%	./quality-samples/sample2.jpg
1280	60	webp	80	25%	./quality-samples/sample2.jpg
1280	70	webp	85	20%	./quality-samples/sample2.jpg
1280	80	webp	90	7%	./quality-samples/sample2.jpg
1280	85	webp	90	23%	./quality-samples/sample2.jpg
1920	50	webp	70	43%	./quality-samples/sample2.jpg
1920	60	webp	80	34%	./quality-samples/sample2.jpg
1920	70	webp	85	27%	./quality-samples/sample2.jpg
1920	80	webp	90	18%	./quality-samples/sample2.jpg
1920	85	webp	90	33%	./quality-samples/sample2.jpg
160	50	webp	40	12%	./quality-samples/sample3.jpg
160	60	webp	50	12%	./quality-samples/sample3.jpg
160	70	webp	60	17%	./quality-samples/sample3.jpg
160	80	webp	80	8%	./quality-samples/sample3.jpg
160	85	webp	80	21%	./quality-samples/sample3.jpg
320	50	webp	45	10%	./quality-samples/sample3.jpg
320	60	webp	55	11%	./quality-samples/sample3.jpg
320	70	webp	65	16%	./quality-samples/sample3.jpg
320	80	webp	80	13%	./quality-samples/sample3.jpg
320	85	webp	80	26%	./quality-samples/sample3.jpg
640	50	webp	50	13%	./quality-samples/sample3.jpg
640	60	webp	60	15%	./quality-samples/sample3.jpg
640	70	webp	70	18%	./quality-samples/sample3.jpg
640	80	webp	80	17%	./quality-samples/sample3.jpg
640	85	webp	85	16%	./quality-samples/sample3.jpg
1280	50	webp	55	19%	./quality-samples/sample3.jpg
1280	60	webp	70	15%	./quality-samples/sample3.jpg
1280	70	webp	80	6%	./quality-samples/sample3.jpg
1280	80	webp	85	9%	./quality-samples/sample3.jpg
1280	85	webp	85	23%	./quality-samples/sample3.jpg
1920	50	webp	65	16%	./quality-samples/sample3.jpg
1920	60	webp	70	22%	./quality-samples/sample3.jpg
1920	70	webp	80	14%	./quality-samples/sample3.jpg
1920	80	webp	85	13%	./quality-samples/sample3.jpg
1920	85	webp	90	3%	./quality-samples/sample3.jpg
